author,date,score,comment
相*湖,2024-09-02,5,金马旅行社梁青导游很负责任，提前沟通，早上提前确认时间，讲解很详细，业务功底强，纯玩团，没有强制消费，离别还赠送小礼物
t*9,2024-05-06,5,玩的很开心，小高领队讲解的很好很清楚，去坐缆车和看电影很轻松，超级满意小高导游，下次来还找她。
h*0,2024-06-05,5,金马旅行社，梁导服务太棒，讲解仔细，愉快的一天。完了还送了小礼品给小朋友。
去*户,2024-10-18,5,准时集合准时出发准时返回，整车内外干净空间舒适。导游专业又贴心，讲解长城历史，代购景点门票索道票，安排的妥妥的，开心舒适安全，无忧无虎。
去*户,2024-10-18,5,刘导游非常负责耐心，讲解详细，整个行程非常顺畅，体验很好，服务很好，体验很棒，性价比高，总体超赞，来长城推荐她
去*户,2024-10-18,5,真的很省事，包了门票，含了往返车，还有导游讲解， 从长城下来多累啊要是还要等车叫车那是真不方便，而且那个位置还不好打车，这次长城之行真的是最明智的选择。
去*户,2024-09-14,5,参加这个团，非常正规，服务非常到位，选择的集合点也非常好。一路还有讲解，到八达岭长城也非常的顺畅，非常舒心的服务。导游很认真负责！体验很棒，总体超赞
f*b,2024-08-16,5,一次愉快的旅行，导游平导也非常专业，八达岭长城景点介绍等服务质量很好，总之一切各方面都非常满意，好评！
去*户,2024-08-12,5,升旗的崔导，跟爬长城的王导服务都很热情玩的很开心。，但是的确看升旗，爬长城很累😂
去*户,2024-04-16,5,蒋队服务非常好👍，讲解的非常棒，很有耐心，全程纯玩团，自费购买了缆车以及天幕影院，值得一看，司机师傅也很守时，停车区域都是方便旅客上下车的地方！ 总之，很满意！
去*户,2024-11-19,5,用户未点评，系统默认好评。
碎*尘,2024-11-17,5,用户未点评，系统默认好评。
去*户,2024-06-24,5,评分：2024-06-24今天幸运遇上了蒋队，全程给我们科普北京的美景和美食，带我们开心游长城，有缘份希望能再次相遇。
z*4,2024-11-16,5,用户未点评，系统默认好评。
去*户,2024-11-15,5,用户未点评，系统默认好评。
去*户,2024-11-14,5,用户未点评，系统默认好评。
去*户,2024-11-14,5,用户未点评，系统默认好评。
去*户,2024-11-11,5,用户未点评，系统默认好评。
f*6,2024-11-11,5,用户未点评，系统默认好评。
去*户,2024-11-10,5,用户未点评，系统默认好评。
羊*羊,2024-11-08,5,用户未点评，系统默认好评。
a*u,2024-11-08,5,用户未点评，系统默认好评。
y*9,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
w*1,2024-11-04,5,用户未点评，系统默认好评。
q*8,2024-11-03,5,用户未点评，系统默认好评。
p*e,2024-11-03,5,用户未点评，系统默认好评。
m*3,2024-11-03,5,用户未点评，系统默认好评。
m*3,2024-11-03,5,用户未点评，系统默认好评。
m*3,2024-11-03,5,用户未点评，系统默认好评。
m*3,2024-11-03,5,用户未点评，系统默认好评。
s*y,2024-11-03,5,用户未点评，系统默认好评。
s*y,2024-11-03,5,用户未点评，系统默认好评。
k*k,2024-11-03,5,用户未点评，系统默认好评。
k*k,2024-11-03,5,用户未点评，系统默认好评。
芝*夭,2024-11-03,5,用户未点评，系统默认好评。
w*6,2024-11-03,5,用户未点评，系统默认好评。
w*6,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
t*3,2024-11-02,5,用户未点评，系统默认好评。
哈*e,2024-11-02,5,用户未点评，系统默认好评。
啊*哈,2024-11-02,5,用户未点评，系统默认好评。
m*1,2024-11-02,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
y*6,2024-11-01,5,用户未点评，系统默认好评。
任*3,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
E*6,2024-11-01,5,用户未点评，系统默认好评。
如*影,2024-11-01,5,用户未点评，系统默认好评。
y*8,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
q*8,2024-10-31,5,用户未点评，系统默认好评。
b*9,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-30,5,用户未点评，系统默认好评。
w*8,2024-10-30,5,用户未点评，系统默认好评。
去*户,2024-10-28,5,用户未点评，系统默认好评。
g*3,2024-10-26,5,用户未点评，系统默认好评。
t*9,2024-10-25,5,用户未点评，系统默认好评。
q*0,2024-10-24,5,用户未点评，系统默认好评。
去*户,2024-08-12,5,王苗导游很棒，给他点个赞
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-23,5,用户未点评，系统默认好评。
去*户,2024-10-22,5,用户未点评，系统默认好评。
x*6,2024-10-21,5,用户未点评，系统默认好评。
x*6,2024-10-21,5,用户未点评，系统默认好评。
去*户,2024-10-21,5,用户未点评，系统默认好评。
t*8,2024-10-20,5,用户未点评，系统默认好评。
b*1,2024-10-19,5,用户未点评，系统默认好评。
b*1,2024-10-19,5,用户未点评，系统默认好评。
b*1,2024-10-19,5,用户未点评，系统默认好评。
a*0,2024-10-19,5,用户未点评，系统默认好评。
s*2,2024-10-18,5,用户未点评，系统默认好评。
k*5,2024-10-18,5,用户未点评，系统默认好评。
勋*咪,2024-10-17,5,用户未点评，系统默认好评。
去*户,2024-10-15,5,用户未点评，系统默认好评。
去*户,2024-10-15,5,用户未点评，系统默认好评。
去*户,2024-10-14,5,用户未点评，系统默认好评。
小*饼,2024-10-14,5,用户未点评，系统默认好评。
e*6,2024-10-12,5,用户未点评，系统默认好评。
b*6,2024-10-11,5,用户未点评，系统默认好评。
去*户,2024-10-11,5,用户未点评，系统默认好评。
去*户,2024-10-11,5,用户未点评，系统默认好评。
s*1,2024-10-11,5,用户未点评，系统默认好评。
去*户,2024-10-11,5,用户未点评，系统默认好评。
走*线,2024-10-11,5,用户未点评，系统默认好评。
亮*咕,2024-10-09,5,用户未点评，系统默认好评。
去*户,2024-05-14,5,非常感谢导游的这次导游服务，我们玩得很开心，导游也辛苦了，能看出来导游都是非常尽心尽力得在为我们服务，导游的讲解也非常的有趣。
去*户,2024-10-06,5,用户未点评，系统默认好评。
最*人,2024-10-05,5,用户未点评，系统默认好评。
去*户,2024-05-07,5,万里长城今犹在，不见当年秦始皇今天跟着北京导游高远航导游游览八达岭长城，感觉非常好，定陵的讲解为大家绘声绘色的讲解，从上车开始为大家介绍北京的景点，金马旅游团的路线性价比很高，推荐大家选择
去*户,2024-09-29,5,服务挺好的，人文景点还是需要专业导游讲解一下的，很不错。
f*2,2024-09-29,5,用户未点评，系统默认好评。
去*户,2024-09-28,5,用户未点评，系统默认好评。
去*户,2024-09-27,5,用户未点评，系统默认好评。
p*7,2024-09-26,5,用户未点评，系统默认好评。
p*7,2024-09-26,5,用户未点评，系统默认好评。
p*7,2024-09-26,5,用户未点评，系统默认好评。
轮*囬,2024-09-26,5,用户未点评，系统默认好评。
x*9,2024-09-26,5,用户未点评，系统默认好评。
去*户,2024-09-25,5,用户未点评，系统默认好评。
l*8,2024-09-25,5,用户未点评，系统默认好评。
去*户,2024-09-24,5,用户未点评，系统默认好评。
e*6,2024-09-22,5,用户未点评，系统默认好评。
e*6,2024-09-22,5,用户未点评，系统默认好评。
e*6,2024-09-22,5,用户未点评，系统默认好评。
i*7,2024-09-22,5,用户未点评，系统默认好评。
b*3,2024-09-21,5,用户未点评，系统默认好评。
去*户,2024-09-21,5,用户未点评，系统默认好评。
f*1,2024-09-21,5,用户未点评，系统默认好评。
l*0,2024-09-21,5,用户未点评，系统默认好评。
w*4,2024-09-21,5,用户未点评，系统默认好评。
去*户,2024-09-21,5,用户未点评，系统默认好评。
去*户,2024-09-21,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
n*6,2024-09-20,5,用户未点评，系统默认好评。
