author,date,score,comment
z*5,2024-10-16,5,10月16号，我跟杨华导游，去了长城，颐和园，圆明园，这个导游特别好，讲解很好，全程讲解，我记得颐和园的时候，其他家的导游一直不讲解，然后看到我们这边有讲解，其他家的游客就说他们家的导游，说你看别人一直讲解为啥你不讲解。所以说我们的杨华导游是真的好，我在想她一直讲解她不累吗🤣很满意，下次过来还要找她，推荐这家旅行社。服务到位，没有购物，非常棒哦👍
去*户,2024-07-15,5,金马旅行社的巴冉导游带团，纯玩团全程无购物，玩了北京三园景点，时间安排挺合理。巴导非常负责任，提前一天给沟通第二天接的地点告知注意事项，很贴心。讲解的非常好非常敬业的一位好导游！以后再来北京，我报团还找她们。
去*户,2024-05-07,5,谢导，谢阿姨，富有激情，不拘泥于传统。有较为丰富的带队经验。性格开朗大方，健谈上至老年人，下至小孩子都可以打成一片。有很高的职业道德和内在修养，人也十分善良。非常感谢导游的这次导游服务，我们玩得很开心，导游也辛苦了，这一天时间能看出来导游都是非常尽心尽力得在为我们服务，导游的讲解也非常的有趣。
w*2,2024-08-26,5,一天的行程安排的满满的，很是充实！  杨华导游  知识丰富，讲解很有意思，大家都学到了不少知识。三分看，七分听，一个好的导游 真的能给行程增添无限乐趣。全程没有购物，给大家的感受还是不错的，午餐吃的是自助餐，也还行吧，看大家都吃的不错。下次旅行 还是选择咱们公司 咱们的导游杨导
去*户,2024-05-28,5,谢导非常好，细心专业，行程合理，能够照顾到团里的每个人。一家三口出行，大人满意孩子也很喜欢。总之很满意的一日游，下次有机会还找谢导，强烈推荐！
s*4,2024-08-22,5,吴导带领，人高话不多，人比较实在，地铁晚到也比较负责会一一打电话确认，上车介绍行程后就讲费用，两人参加完三项自费的费用还是比较高（颐和园和圆明园必须跟着走，否则跟不上），一人报团一百多，后面费用缆车140，颐和园100，圆明园80，两人花费一天也是八百多，总的费用也是挺高的。补充一个：儿童票不含，孩子满7岁颐和园要自己买儿童票。
独*雪,2024-07-07,5,蔡宁导游很有经验，时间安排的很紧凑，每一个景点都进行了讲解，大热天的又没戴帽子又没打伞的，还要不停地讲解和进行人员管理，感觉挺辛苦的，不过从他积极的状态中能看得出是一位敬业，负责的好导游，特别是下午大家又累又热的情况下，还用幽默恢谐的语言调动大家的情绪，终于坚持到了最后！已推荐给有北京出游计划的朋友！
k*3,2024-07-06,5,王琴导游讲的很好，细心负责，合理安排时间，照顾到每个人，特别是有孩子的家庭，有机会再来，一定找王琴导游
m*O,2024-01-21,5,郭导讲解得非常好，宛如一本行走的历史书，从皇家祭天圣地天坛到激起爱国情怀遗址圆明园再到风光旖旎皇家名园，收获颇丰～还在大明湖畔滑了小冰车，满足！！！
去*户,2024-08-18,5,杨导服务周到热情，行程安排的非常合理，时间把控的也非常好。到景区就避免了人多排长队，在景区游览的时间充足。而且杨导不带着购物，纯玩，旅游品质得到保证，这跟以前导游千方百计让旅客购物完全不同。在今天游玩的长城和颐和园之旅，杨导在路上也适宜的讲解了北京的风土人情，大大缓解了我们行车的疲劳，而且语言风趣幽默。总体来说，这一次的旅行非常愉快！
x*0,2024-05-10,5,双园一天游 学了很多历史 导游对历史介绍很好 很理解历史 我以为自己在上课😂
往*风,2024-04-21,5,领母亲来北京玩，有幸跟着谢导的团，很满意的一次游玩，业务能力强，解说的很专业，总之很推荐
去*户,2024-06-18,5,性价比非常高，很意外，谢导游非常好，讲解到位，服务态度很好！下次来北京还可以找谢导，真的很满意！强烈推荐！
去*户,2024-08-09,5,崔导今天带我们一天，团人多孩子巨多，非常细心有耐心，整个行程安排非常有序，恭王府＋两园重点地方都讲解了，跟团的好处就是确实省很多时间精力，一天走三个景点，如果自己逛的话估计一个点都要逛一天，还不一定能了解到重点。
去*户,2024-05-28,5,谢导的导游工作非常棒，行程路线安排合理，全程重点景点能完美的观看体验，一路下体验非常好
-*Y,2024-05-17,5,谢中辉导游非常认真负责 带我们轻松愉快的度过了一天 全程零购物 值得推荐 靠谱
c*3,2024-07-16,5,今天由杨导游带领去游览了八达岭长城，颐和园等旅游景点，导游全程讲解，知识丰富，语言表达流畅，让我们在浏览美好景点的同时，也了解了平时接触不到的一些历史知识，非常棒的一次旅游历程，感谢杨导！
p*1,2024-07-14,5,7月14日，跟着王琴导游的团非常棒，比之前到故宫导游强的不是一点半点，讲解到位服务好，有互动 孩子老人听的津津有味，安排路线一点也不紧张非常优闲不排队，身十分满意，好评！
g*0,2024-09-24,5,刘导游讲解非常细致，很关心游客，合理安排时间行程，下次有机会再来北京还没去的地方还是会选他们家报团！
p*3,2024-09-16,5,提前在平台上预定的一日游，全程无购物，在杨华导游的带领下，我们游玩了八达岭长城和颐和园，一天下来也挺累了
勿*花,2024-02-07,5,圆明园什么都没有，去就不要后悔，具体因为什么，历史书写了
t*1,2024-11-10,5,值！这个时候看银杏黄叶。
去*户,2024-08-28,5,今天在杨华导游的带领下完成了长城和颐和园一日游，真的非常非常好，本来是带爸爸妈妈一起来个一日游，想省点心，才定了这个，爸爸妈妈非常满意，还不停的夸小杨导游，说她说的非常好，他们听的很开心，老爸老妈满意就是最好啦～而且确实全程无购物推导，套餐也非常划算，路过清华北大也会让我们拍照，棒棒哒 很推荐🤭
l*9,2024-08-26,5,8月26日王琴导游，热情好客，行程安排非常合适，孩子老人都很喜欢，自助餐也不错哦，确实没有购物，点赞，点赞。
f*1,2024-08-20,5,8.20号跟着阿志导游游三园，阿志导游全程讲解的非常仔细，而且整个过程非常的有耐心，对每个人照顾的也特别好。强烈安利👍👍
