地点,短评,出发时间,天数,人均消费,人物,玩法,浏览量
北京,寻找全世界的足迹（上）,2014/10/01,54,,独自一人,美食 暑假 徒步 第一次,8.4万
北京,帝之文化，魔之现代“帝魔”九日，人间百年,2019/10/18,9,6000,三五好友,第一次 深度游 古镇 赏秋 国庆,3994
青岛,间隔年走走停停的旅程,2015/02/09,37,,,美食 海滨海岛,2.6万
哈尔滨,三只猪的哈尔滨北京10天梦游之旅,2015/12/05,10,3000,三五好友,美食 滑雪 购物,5126
北京,2021逛公园,2021/02/17,15,,,,6532
北京,赫赫京都千百年，钟灵毓秀萃龙渊,2015/08/31,5,2000,三五好友,短途周末 美食,6.1万
北京,暴走明宋古都，走断腿也快乐,2020/11/13,9,6000,情侣,第一次 美食 摄影 赏秋,1923
北京,花开时节动京城,2016/04/11,5,2000,情侣,古镇 蜜月 美食 购物,1.3万
北京,我和北京有个约会,2014/08/05,5,,,美食,5.1万
北京,北京的旅行,2013/07/09,6,6000,家庭,美食,10.3万
北京,2024北京天津-圆一个小朋友环球影城的梦,2024/08/15,5,7000,家庭,第一次 暑假,451
北京,羊年春节，暴走京城,2015/02/21,6,2500,三五好友,美食,2万
北京,帝都之旅-圆一场岳父的旅行梦,2017/05/16,6,5000,家庭,古镇 购物 摄影 美食 人文,3.7万
乌兰布统草原,乌兰布统给秋天孩子的礼物,2017/09/30,8,3680,独自一人,摄影 赏秋 国庆,5083
北京,去北方过一个年——北京,2015/02/19,5,,三五好友,美食,2.7万
北京,为！故都的秋！,2019/11/02,3,2000,闺蜜,第一次 穷游 赏枫 赏秋,4149
北京,北京，平遥，太原，天津。一个人，说走就走…,2014/07/26,12,,独自一人,夏季 美食 购物,5044
北京,我爱北京地安门——美食篇：闻香知味逍遥地,2015/10/06,1,200,情侣,美食,2.7万
北京,北京欢乐行,2012/11/15,4,,,美食,3.4万
北京,和小朋友一起北上——我们的清爽之旅,2016/07/30,9,7000,亲子,,4372
地点,短评,出发时间,天数,人均消费,人物,玩法,浏览量
北京,寻找全世界的足迹（上）,2014/10/01,54,,独自一人,美食 暑假 徒步 第一次,8.4万
北京,帝之文化，魔之现代“帝魔”九日，人间百年,2019/10/18,9,6000,三五好友,第一次 深度游 古镇 赏秋 国庆,3995
青岛,间隔年走走停停的旅程,2015/02/09,37,,,美食 海滨海岛,2.6万
哈尔滨,三只猪的哈尔滨北京10天梦游之旅,2015/12/05,10,3000,三五好友,美食 滑雪 购物,5127
北京,2021逛公园,2021/02/17,15,,,,6533
北京,赫赫京都千百年，钟灵毓秀萃龙渊,2015/08/31,5,2000,三五好友,短途周末 美食,6.1万
北京,暴走明宋古都，走断腿也快乐,2020/11/13,9,6000,情侣,第一次 美食 摄影 赏秋,1924
北京,花开时节动京城,2016/04/11,5,2000,情侣,古镇 蜜月 美食 购物,1.3万
北京,我和北京有个约会,2014/08/05,5,,,美食,5.1万
北京,北京的旅行,2013/07/09,6,6000,家庭,美食,10.3万
北京,2024北京天津-圆一个小朋友环球影城的梦,2024/08/15,5,7000,家庭,第一次 暑假,452
北京,羊年春节，暴走京城,2015/02/21,6,2500,三五好友,美食,2万
北京,帝都之旅-圆一场岳父的旅行梦,2017/05/16,6,5000,家庭,古镇 购物 摄影 美食 人文,3.7万
乌兰布统草原,乌兰布统给秋天孩子的礼物,2017/09/30,8,3680,独自一人,摄影 赏秋 国庆,5084
北京,去北方过一个年——北京,2015/02/19,5,,三五好友,美食,2.7万
北京,为！故都的秋！,2019/11/02,3,2000,闺蜜,第一次 穷游 赏枫 赏秋,4150
北京,北京，平遥，太原，天津。一个人，说走就走…,2014/07/26,12,,独自一人,夏季 美食 购物,5045
北京,我爱北京地安门——美食篇：闻香知味逍遥地,2015/10/06,1,200,情侣,美食,2.7万
北京,北京欢乐行,2012/11/15,4,,,美食,3.4万
北京,和小朋友一起北上——我们的清爽之旅,2016/07/30,9,7000,亲子,,4373
北京,深冬游北京老城,2012/12/18,8,,,冬季 美食,1.7万
北京,京城5日游,2019/10/15,5,,独自一人,第一次,9144
北京,兜爷看世界⑩——麦兜同学2223雪季封板的北京、崇礼之旅,2024/02/19,1,,,,395
北京,圆梦北京—2019休假记（上）,2019/07/27,5,3500,家庭,第一次 暑假,5674
北京,南方妹子游帝都,2016/03/26,9,5000,独自一人,人文 美食 购物,7147
北京,神往天都,2016/10/14,5,3000,家庭,人文 美食,4183
北京,情怀北京，圆一场久违的帝都梦,2017/11/07,11,4000,独自一人,徒步 购物 美食 人文,8777
天津,匆匆掠影，津京短暂五天游,2013/10/01,5,1500,三五好友,美食,4872
北京,皇城——北京“暴走”之旅,2018/07/27,5,2000,亲子,暑假,1.2万
北京,趁长辈身体还硬朗，带他们去游北京吧,2015/07/23,5,3300,家庭,,1.4万
北京,6天5晚北京暴走自由行-深度游,2021/05/03,6,3500,情侣,蜜月 深度游 五一,973
北京,情怀北京，吃玩全程，小众行,2016/09/28,4,,情侣,美食 古镇 摄影,7.3万
北京,旺季5月双人游北京首都攻略,2015/05/14,4,2500,情侣,短途周末,5.3万
北京,春天来啦，年票走起,2016/04/03,2,150,家庭,自驾 踏春,5233
杭州,威严帝都   烟雨江南,2019/03/24,7,3500,亲子,,4125
北京,特种兵旅行之北京5日游,2024/09/04,5,,独自一人,骑行 徒步 穷游 夏季,554
北京,呼伦贝尔6天5晚+北京3天2晚暑假之旅,2024/07/01,1,,,,2462
北京,人间忽晚，山河已秋，回忆里的北京秋日碎片,2020/11/05,4,,情侣,,8454
北京,"北京,长沙10日游",2017/07/10,10,,,购物,4080
北京,娃“嗨”了的北京行（含环球影城）,2024/06/22,5,3000,亲子,短途周末 暑假,5239
北京,秋天北京是最美的，用两天时间完成一场等待已久的视觉盛宴,2020/10/08,2,1,独自一人,,3445
北京,要的就是与众不同-------北京之旅,2015/10/04,8,2800,独自一人,美食,3138
