author,date,score,comment
e*2,2024-11-01,5,玩的开心！延安红色旅游两日游，体验感非常棒！特别要感谢李师傅，特别守时，准时准点在酒店接我们，早上6点多就起床带我们去看了日出，李师傅车技很棒，开车很稳，两天的行程中李师傅给我们介绍了陕北的风土人情感受到了老区人民的淳朴热情，行程结束后李师傅把我们安全送达酒店，特别推荐李师傅超级赞！
去*户,2024-05-13,5,今天的旅游是非常开心的一天，司机大哥服务周到，时间安排的也很充裕，性价比很高，有机会一定还来。
去*户,2024-06-25,5,革命圣地👉参观了杨家岭、枣园、宝塔山、清凉山 吃了羊肉面、二道街小吃烧烤、香菇面、子长煎饼。无数次被震撼到，延安精神永放光芒！  ​​​
r*4,2024-07-24,5,导游姐姐很耐心，这次给我爸报的团，全程都是我跟小姐姐沟通，小姐姐全程耐心讲解，我爸也觉得很不错👍必须点赞，靠谱小姐姐负责北线，推荐➕1
t*1,2024-06-23,5,导游司机师傅服务态度非常好，有喜欢朋友可以来延安旅行。
去*户,2024-03-29,3,只能说还行。60块钱的门票太贵了。30块钱差不多。能看的东西也不多。革命圣地的感觉不是很明显。总体评价一般
q*1,2024-11-18,5,用户未点评，系统默认好评。
l*4,2024-11-18,5,用户未点评，系统默认好评。
l*4,2024-11-18,5,用户未点评，系统默认好评。
c*8,2024-11-17,5,用户未点评，系统默认好评。
e*5,2024-11-15,5,用户未点评，系统默认好评。
3*4,2024-11-15,5,用户未点评，系统默认好评。
去*户,2024-11-15,5,用户未点评，系统默认好评。
t*w,2024-11-13,5,非常方便，秒出票，使用便捷。
墙*刘,2024-11-12,5,用户未点评，系统默认好评。
w*3,2024-11-11,5,用户未点评，系统默认好评。
9*十,2024-11-11,5,用户未点评，系统默认好评。
去*户,2024-11-10,5,用户未点评，系统默认好评。
K*O,2024-11-10,5,用户未点评，系统默认好评。
i*8,2024-11-08,5,用户未点评，系统默认好评。
i*8,2024-11-08,5,用户未点评，系统默认好评。
i*8,2024-11-08,5,用户未点评，系统默认好评。
飞*7,2024-11-07,5,用户未点评，系统默认好评。
w*3,2024-11-06,5,用户未点评，系统默认好评。
w*3,2024-11-06,5,用户未点评，系统默认好评。
n*2,2024-11-06,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
粘*西,2024-11-06,5,用户未点评，系统默认好评。
r*2,2024-11-05,5,用户未点评，系统默认好评。
r*2,2024-11-05,5,用户未点评，系统默认好评。
r*2,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
d*e,2024-11-05,5,用户未点评，系统默认好评。
w*h,2024-11-05,5,用户未点评，系统默认好评。
y*艺,2024-11-05,5,用户未点评，系统默认好评。
w*h,2024-11-05,5,用户未点评，系统默认好评。
r*0,2024-11-05,5,用户未点评，系统默认好评。
z*8,2024-11-04,5,用户未点评，系统默认好评。
a*9,2024-11-04,5,用户未点评，系统默认好评。
x*8,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
a*9,2024-11-04,5,用户未点评，系统默认好评。
d*3,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
h*5,2024-11-04,5,用户未点评，系统默认好评。
j*4,2024-11-04,5,用户未点评，系统默认好评。
燕*红,2024-11-04,5,用户未点评，系统默认好评。
甘*龙,2024-11-04,5,用户未点评，系统默认好评。
燕*红,2024-11-04,5,用户未点评，系统默认好评。
c*9,2024-11-04,5,用户未点评，系统默认好评。
c*9,2024-11-04,5,用户未点评，系统默认好评。
x*1,2024-11-04,5,用户未点评，系统默认好评。
D*D,2024-11-04,5,用户未点评，系统默认好评。
p*4,2024-11-04,5,用户未点评，系统默认好评。
t*2,2024-11-04,5,用户未点评，系统默认好评。
h*1,2024-11-04,5,用户未点评，系统默认好评。
h*1,2024-11-04,5,用户未点评，系统默认好评。
i*7,2024-11-04,5,用户未点评，系统默认好评。
t*2,2024-11-04,5,用户未点评，系统默认好评。
t*2,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
l*2,2024-11-04,5,用户未点评，系统默认好评。
l*2,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
p*5,2024-11-04,5,用户未点评，系统默认好评。
p*5,2024-11-04,5,用户未点评，系统默认好评。
r*3,2024-11-04,5,用户未点评，系统默认好评。
r*3,2024-11-04,5,用户未点评，系统默认好评。
r*3,2024-11-04,5,用户未点评，系统默认好评。
唐*7,2024-11-04,5,用户未点评，系统默认好评。
登*峰,2024-11-04,5,用户未点评，系统默认好评。
h*5,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
a*9,2024-11-03,5,用户未点评，系统默认好评。
a*4,2024-11-03,5,用户未点评，系统默认好评。
v*2,2024-11-03,5,用户未点评，系统默认好评。
o*1,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
x*4,2024-11-03,5,用户未点评，系统默认好评。
x*4,2024-11-03,5,用户未点评，系统默认好评。
果*淘,2024-11-03,5,用户未点评，系统默认好评。
z*6,2024-11-03,5,用户未点评，系统默认好评。
f*0,2024-11-03,5,用户未点评，系统默认好评。
田*田,2024-11-03,5,用户未点评，系统默认好评。
田*田,2024-11-03,5,用户未点评，系统默认好评。
海*4,2024-11-03,5,用户未点评，系统默认好评。
g*4,2024-11-03,5,用户未点评，系统默认好评。
海*4,2024-11-03,5,用户未点评，系统默认好评。
i*3,2024-11-03,5,用户未点评，系统默认好评。
y*1,2024-11-03,5,用户未点评，系统默认好评。
q*户,2024-11-03,5,用户未点评，系统默认好评。
g*8,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
q*户,2024-11-03,5,用户未点评，系统默认好评。
做*我,2024-11-03,5,用户未点评，系统默认好评。
w*0,2024-11-03,5,用户未点评，系统默认好评。
w*0,2024-11-03,5,用户未点评，系统默认好评。
q*2,2024-11-03,5,用户未点评，系统默认好评。
a*1,2024-11-03,5,用户未点评，系统默认好评。
n*6,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
n*6,2024-11-03,5,用户未点评，系统默认好评。
w*0,2024-11-03,5,用户未点评，系统默认好评。
t*a,2024-11-03,5,用户未点评，系统默认好评。
s*5,2024-11-03,5,用户未点评，系统默认好评。
w*3,2024-11-03,5,用户未点评，系统默认好评。
G*y,2024-11-03,5,用户未点评，系统默认好评。
G*y,2024-11-03,5,用户未点评，系统默认好评。
s*5,2024-11-03,5,用户未点评，系统默认好评。
z*6,2024-11-03,5,用户未点评，系统默认好评。
t*a,2024-11-03,5,用户未点评，系统默认好评。
b*8,2024-11-03,5,用户未点评，系统默认好评。
b*8,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
J*o,2024-11-02,5,用户未点评，系统默认好评。
s*0,2024-11-02,5,用户未点评，系统默认好评。
慕*8,2024-11-02,5,用户未点评，系统默认好评。
t*j,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
y*7,2024-11-02,5,用户未点评，系统默认好评。
隐*8,2024-11-02,5,用户未点评，系统默认好评。
1*n,2024-11-02,5,用户未点评，系统默认好评。
1*n,2024-11-02,5,用户未点评，系统默认好评。
党*坤,2024-11-02,5,用户未点评，系统默认好评。
党*坤,2024-11-02,5,用户未点评，系统默认好评。
k*1,2024-11-02,5,用户未点评，系统默认好评。
h*4,2024-11-02,5,用户未点评，系统默认好评。
k*1,2024-11-02,5,用户未点评，系统默认好评。
h*4,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
u*3,2024-11-02,5,用户未点评，系统默认好评。
t*9,2024-11-02,5,用户未点评，系统默认好评。
u*3,2024-11-02,5,用户未点评，系统默认好评。
u*3,2024-11-02,5,用户未点评，系统默认好评。
u*9,2024-11-02,5,用户未点评，系统默认好评。
E*n,2024-11-02,5,用户未点评，系统默认好评。
E*n,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
章*路,2024-11-02,5,用户未点评，系统默认好评。
章*路,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
洁*4,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
洁*4,2024-11-02,5,用户未点评，系统默认好评。
z*1,2024-11-02,5,用户未点评，系统默认好评。
z*1,2024-11-02,5,用户未点评，系统默认好评。
u*2,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
g*9,2024-11-02,5,用户未点评，系统默认好评。
去*户,2024-11-02,5,用户未点评，系统默认好评。
q*0,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
i*3,2024-11-01,5,用户未点评，系统默认好评。
k*7,2024-11-01,5,用户未点评，系统默认好评。
d*4,2024-11-01,5,用户未点评，系统默认好评。
i*3,2024-11-01,5,用户未点评，系统默认好评。
d*9,2024-11-01,5,用户未点评，系统默认好评。
q*8,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
c*5,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
y*5,2024-11-01,5,用户未点评，系统默认好评。
y*5,2024-11-01,5,用户未点评，系统默认好评。
a*6,2024-11-01,5,用户未点评，系统默认好评。
不*d,2024-11-01,5,用户未点评，系统默认好评。
a*6,2024-11-01,5,用户未点评，系统默认好评。
a*6,2024-11-01,5,用户未点评，系统默认好评。
a*8,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
v*6,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
d*0,2024-11-01,5,用户未点评，系统默认好评。
d*0,2024-11-01,5,用户未点评，系统默认好评。
k*3,2024-11-01,5,用户未点评，系统默认好评。
a*8,2024-11-01,5,用户未点评，系统默认好评。
l*5,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
去*户,2024-11-01,5,用户未点评，系统默认好评。
夜*雅,2024-10-31,5,用户未点评，系统默认好评。
夜*雅,2024-10-31,5,用户未点评，系统默认好评。
s*1,2024-10-31,5,用户未点评，系统默认好评。
s*1,2024-10-31,5,用户未点评，系统默认好评。
b*6,2024-10-31,5,用户未点评，系统默认好评。
b*6,2024-10-31,5,用户未点评，系统默认好评。
y*7,2024-10-31,5,用户未点评，系统默认好评。
y*7,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-31,5,用户未点评，系统默认好评。
1*6,2024-10-31,5,用户未点评，系统默认好评。
b*5,2024-10-31,5,用户未点评，系统默认好评。
飘*后,2024-10-31,5,用户未点评，系统默认好评。
b*5,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-31,5,用户未点评，系统默认好评。
g*7,2024-10-31,5,用户未点评，系统默认好评。
e*1,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-31,5,用户未点评，系统默认好评。
h*2,2024-10-31,5,用户未点评，系统默认好评。
e*1,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-31,5,用户未点评，系统默认好评。
d*5,2024-10-31,5,用户未点评，系统默认好评。
d*5,2024-10-31,5,用户未点评，系统默认好评。
冷*9,2024-10-31,5,用户未点评，系统默认好评。
冷*9,2024-10-31,5,用户未点评，系统默认好评。
去*户,2024-10-30,5,用户未点评，系统默认好评。
l*4,2024-10-24,5,用户未点评，系统默认好评。
翠*1,2024-10-23,5,用户未点评，系统默认好评。
g*5,2024-10-23,5,用户未点评，系统默认好评。
g*3,2024-10-22,5,用户未点评，系统默认好评。
w*0,2024-10-22,5,用户未点评，系统默认好评。
q*7,2024-10-21,5,用户未点评，系统默认好评。
d*3,2024-10-21,5,用户未点评，系统默认好评。
小*7,2024-10-21,5,用户未点评，系统默认好评。
小*7,2024-10-21,5,用户未点评，系统默认好评。
8*g,2024-10-20,5,用户未点评，系统默认好评。
b*2,2024-10-20,5,用户未点评，系统默认好评。
r*4,2024-10-19,5,用户未点评，系统默认好评。
t*3,2024-10-18,5,用户未点评，系统默认好评。
t*3,2024-10-18,5,用户未点评，系统默认好评。
c*3,2024-10-17,5,用户未点评，系统默认好评。
我*样,2024-10-17,5,用户未点评，系统默认好评。
p*9,2024-10-15,5,用户未点评，系统默认好评。
蓝*期,2024-10-15,5,用户未点评，系统默认好评。
f*1,2024-10-15,5,用户未点评，系统默认好评。
t*3,2024-10-15,5,用户未点评，系统默认好评。
阿*o,2024-10-14,5,用户未点评，系统默认好评。
去*户,2024-10-14,5,用户未点评，系统默认好评。
阿*o,2024-10-14,5,用户未点评，系统默认好评。
去*户,2024-10-13,5,用户未点评，系统默认好评。
去*户,2024-10-12,5,用户未点评，系统默认好评。
t*4,2024-10-12,5,用户未点评，系统默认好评。
x*5,2024-10-11,5,用户未点评，系统默认好评。
m*6,2024-10-10,5,用户未点评，系统默认好评。
y*2,2024-10-08,5,用户未点评，系统默认好评。
黑*8,2024-10-08,5,用户未点评，系统默认好评。
去*户,2024-10-08,5,用户未点评，系统默认好评。
黑*8,2024-10-08,5,用户未点评，系统默认好评。
老*子,2024-10-07,5,用户未点评，系统默认好评。
去*户,2024-10-06,5,用户未点评，系统默认好评。
h*0,2024-10-06,5,用户未点评，系统默认好评。
y*5,2024-10-06,5,用户未点评，系统默认好评。
h*0,2024-10-06,5,用户未点评，系统默认好评。
l*2,2024-10-03,5,用户未点评，系统默认好评。
去*户,2024-10-02,5,用户未点评，系统默认好评。
去*户,2024-10-02,5,用户未点评，系统默认好评。
f*7,2024-10-01,5,用户未点评，系统默认好评。
冰*婷,2024-09-30,5,用户未点评，系统默认好评。
冰*婷,2024-09-30,5,用户未点评，系统默认好评。
e*2,2024-09-28,5,用户未点评，系统默认好评。
u*5,2024-09-27,5,用户未点评，系统默认好评。
x*0,2024-09-25,5,用户未点评，系统默认好评。
去*户,2024-09-25,5,用户未点评，系统默认好评。
去*户,2024-09-25,5,用户未点评，系统默认好评。
S*7,2024-09-24,5,用户未点评，系统默认好评。
f*9,2024-09-24,5,用户未点评，系统默认好评。
鲜*哥,2024-09-24,5,用户未点评，系统默认好评。
鲜*哥,2024-09-24,5,用户未点评，系统默认好评。
亲*浪,2024-09-23,5,用户未点评，系统默认好评。
亲*浪,2024-09-23,5,用户未点评，系统默认好评。
x*g,2024-09-22,5,用户未点评，系统默认好评。
z*3,2024-09-21,5,用户未点评，系统默认好评。
z*3,2024-09-21,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
j*a,2024-09-20,5,用户未点评，系统默认好评。
u*0,2024-09-20,5,用户未点评，系统默认好评。
u*0,2024-09-20,5,用户未点评，系统默认好评。
呆*侠,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
去*户,2024-09-20,5,用户未点评，系统默认好评。
