author,date,score,comment
小*酒,2024-07-22,5,中午出发去的红旗渠时间足够了，主要还是对历史不是很了解，去红旗渠的话个人感觉还是找个导游讲解一下，从红旗渠出来开车20分钟左右就到了青年洞，2种玩法，一种观光车或者缆车，一种就是纯爬，门票双人票154，然后缆车（来回一个人60）+观光车（一个人20），风景还是不错的。
x*3,2024-08-24,4,强调一下，直接去青年洞，驾车直接去。没有特别空闲的时间，不用去纪念馆。高空栈桥不错，玩滑道需要爬的台阶太多，好累……
s*8,2024-05-13,5,纪念馆和青年洞相距约30公里，虽然是一张票一个景区，但需要自己在路边拦长途小巴车，这点十分不方便。景区景色还是不错的，沿着水渠走起来也不累，不需要做摆渡车。
q*0,2024-11-19,5,用户未点评，系统默认好评。
l*1,2024-11-19,5,用户未点评，系统默认好评。
去*户,2024-11-17,5,用户未点评，系统默认好评。
c*1,2024-11-17,5,用户未点评，系统默认好评。
w*9,2024-11-16,5,用户未点评，系统默认好评。
s*8,2024-11-16,5,用户未点评，系统默认好评。
去*户,2024-11-15,5,用户未点评，系统默认好评。
x*2,2024-11-15,5,用户未点评，系统默认好评。
清*波,2024-11-15,5,用户未点评，系统默认好评。
光*下,2024-11-15,5,用户未点评，系统默认好评。
光*下,2024-11-15,5,用户未点评，系统默认好评。
i*0,2024-11-13,5,用户未点评，系统默认好评。
去*户,2024-11-13,5,用户未点评，系统默认好评。
和*平,2024-11-13,5,用户未点评，系统默认好评。
a*1,2024-11-13,5,用户未点评，系统默认好评。
t*1,2024-11-12,5,用户未点评，系统默认好评。
去*户,2024-11-12,5,用户未点评，系统默认好评。
去*户,2024-11-10,5,用户未点评，系统默认好评。
s*9,2024-11-10,5,用户未点评，系统默认好评。
形*0,2024-11-09,5,用户未点评，系统默认好评。
布*熊,2024-11-09,5,用户未点评，系统默认好评。
去*户,2024-11-08,5,景区使用方便快捷，性价比高。
去*户,2024-11-08,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
p*6,2024-11-06,5,用户未点评，系统默认好评。
i*3,2024-11-06,5,用户未点评，系统默认好评。
i*3,2024-11-06,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
J*e,2024-11-06,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
娄*洋,2024-11-06,5,用户未点评，系统默认好评。
去*户,2024-11-06,5,用户未点评，系统默认好评。
p*6,2024-11-06,5,用户未点评，系统默认好评。
i*3,2024-11-06,5,用户未点评，系统默认好评。
w*5,2024-11-06,5,用户未点评，系统默认好评。
p*4,2024-11-06,5,用户未点评，系统默认好评。
c*i,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
q*2,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-05,5,用户未点评，系统默认好评。
e*5,2024-11-05,5,用户未点评，系统默认好评。
j*3,2024-11-05,5,用户未点评，系统默认好评。
w*4,2024-11-05,5,用户未点评，系统默认好评。
f*2,2024-11-05,5,用户未点评，系统默认好评。
w*8,2024-11-05,5,用户未点评，系统默认好评。
w*8,2024-11-05,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
g*1,2024-11-04,5,用户未点评，系统默认好评。
g*1,2024-11-04,5,用户未点评，系统默认好评。
r*2,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
q*n,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
q*1,2024-11-04,5,用户未点评，系统默认好评。
q*1,2024-11-04,5,用户未点评，系统默认好评。
q*8,2024-11-04,5,用户未点评，系统默认好评。
k*4,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
任*条,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
d*6,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
m*2,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
q*8,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
m*2,2024-11-04,5,用户未点评，系统默认好评。
蔡*君,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
j*3,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-04,5,用户未点评，系统默认好评。
-*g,2024-11-04,5,用户未点评，系统默认好评。
-*g,2024-11-04,5,用户未点评，系统默认好评。
朝*t,2024-11-04,5,用户未点评，系统默认好评。
j*3,2024-11-04,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
v*9,2024-11-03,5,用户未点评，系统默认好评。
天*乙,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
d*8,2024-11-03,5,用户未点评，系统默认好评。
d*8,2024-11-03,5,用户未点评，系统默认好评。
d*8,2024-11-03,5,用户未点评，系统默认好评。
天*乙,2024-11-03,5,用户未点评，系统默认好评。
小*牛,2024-11-03,5,用户未点评，系统默认好评。
小*牛,2024-11-03,5,用户未点评，系统默认好评。
o*1,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
l*g,2024-11-03,5,用户未点评，系统默认好评。
l*g,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
长*仙,2024-11-03,5,用户未点评，系统默认好评。
长*仙,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
j*5,2024-11-03,5,用户未点评，系统默认好评。
a*9,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
q*4,2024-11-03,5,用户未点评，系统默认好评。
去*户,2024-11-03,5,用户未点评，系统默认好评。
