name,city,rate,introduction
天安门广场,北京市东城区,,祖国的象征与心脏
圆明园,北京市海淀区,5A,毁于战火的清代皇家园林
北京奥林匹克公园,北京市朝阳区,5A,感受2008北京奥运的辉煌
中国人民抗日战争纪念馆,北京市丰台区,4A,爱国主义教育重要场所
北京新文化博物馆,北京市东城区,,展示五四新文化运动历史的综合性博物馆
中国人民革命军事博物馆,北京市海淀区,,参观众多武器装备
中国航空博物馆,北京市昌平区,4A,收藏有上百架的飞机
没有共产党就没有新中国纪念馆,北京市房山区,,纪念在平西抗日中曹火星创作的真理歌曲
北京规划展览馆,北京市东城区,4A,宣传当代城市规划建设的伟大成就
焦庄户地道战遗址,北京市顺义区,3A,再现地道原貌
中国国家博物馆,北京市东城区,,穿越千年看中华珍宝
冀热察挺进军司令部旧址陈列馆,北京市门头沟区,,
双清别墅,北京市海淀区,,建筑古朴，院内林茂泉清
平津战役纪念馆,天津市红桥区,4A,了解平津战役历史的好地方
周恩来邓颖超纪念馆,天津市南开区,4A,纪念一代伟人之地
盘山烈士陵园,天津市蓟县盘山,,发扬红色革命传统教育之地
大沽口炮台遗址,天津市滨海新区,4A,海河出海口处的老炮台
华北军区烈士陵园,河北省石家庄市,4A,纪念在战争时期牺牲的革命烈士
晋冀鲁豫烈士陵园,河北省邯郸市,4A,松柏葱郁，庄严肃穆，建筑富有民族风格
李大钊纪念馆,唐山市乐亭县,4A,缅怀革命先烈的地方
潘家峪惨案纪念馆,河北省唐山市,2A,纪念惨案中死难同胞，爱国主义教育基地
马本斋纪念馆,河北省沧州市献县,2A,
董存瑞烈士陵园,河北省承德市,4A,具有民族风格和鲜明时代特色的仿古建筑
八路军太行纪念馆,山西省武乡县,4A,红色教育基地
大同煤矿万人坑纪念馆,山西省大同市,2A,劳工死后被抛尸荒山野造成的“万人坑”
平型关大捷景区,山西省灵丘县,4A,瞻仰英雄事迹，缅怀先烈
刘胡兰纪念馆,山西省吕梁市,,全国重点烈士纪念建筑物保护单位
百团大战纪念馆,山西省阳泉市,,抗日时期，百团大战的主战场
满洲里国门景区,内蒙古呼伦贝尔满洲里市,5A,全国红色旅游重点景区
诺门罕战役遗址,内蒙古呼伦贝尔,3A,首批“国防教育基地”
万忠墓纪念馆,辽宁省大连市旅顺口区,,全国百家爱国主义教育示范基地之一
抗美援朝纪念馆,辽宁省丹东市,4A,重温抗美援朝历史
鸭绿江断桥,辽宁省丹东市,4A,丹东的标志性景点之一
九一八历史博物馆,辽宁省沈阳市,4A,展出日军侵华罪证
平顶山惨案纪念馆,辽宁省抚顺市,3A,
雷锋纪念馆,辽宁省抚顺市,4A,了解他短暂而光辉的一生
四平战役纪念馆,吉林省四平市,2A,展示了我军英勇顽强的革命英雄主义精神
长春电影制片厂,吉林省长春市,,新中国电影事业摇篮
侵华日军第七三一细菌部队罪证陈列馆	黑龙江省哈尔滨市,4A,警示国人勿忘国
铁人王进喜纪念馆,黑龙江省大庆市,4A,铁人精神的传播和爱国主义教育的生动课堂
江桥抗战纪念馆	黑龙江省齐齐哈尔市,3A,黑龙江省爱国主义教育基地
中共一大会址纪念馆,上海市黄浦区,5A,中国共产党的诞生地
宋庆龄故居,上海市徐汇区,4A,闹市里的静谧西式优雅故居
南京大屠杀遇难同胞纪念馆,江苏省南京市,4A,爱国主义教育示范基地
渡江胜利纪念馆	江苏省南京市,4A,展现渡江战役的历史
《南京条约》史料陈列馆,江苏省南京市,,展现了签订条约的场景
淮海战役纪念馆,江苏省徐州市,4A,高科技还原陆战历史
新四军黄桥战役纪念馆,江苏省泰州泰兴市,3A,花园回廊曲径，古朴典雅
新四军江南指挥部纪念馆,江苏省常州市,4A,了解苏南战争的过程
中山陵,江苏省南京市,5A,孙中山先生的陵墓
刘老庄八十二烈士陵园,江苏省淮阴县,2A,
人民海军诞生地纪念馆,江苏省泰州市,3A,
周恩来纪念馆,江苏省淮安市,人民的好总理，永远活在人民心中
抗日山烈士陵园,江苏省连云港市,4A,景区内八个不同坡段，建筑风格迥异
嘉兴南湖景区,浙江省嘉兴市,5A,江南三大名湖之一
王稼祥纪念园,安徽省芜湖市,4A,建筑精巧细致、秀丽天成，馆藏文物丰富
独山革命旧址群景区,安徽省六安市,4A,革命旧址，气势恢弘
皖西烈士陵园,安徽省六安市,3A,
新四军军部旧址,安徽省宣城市,4A,新四军军部由歙县岩寺移驻于此地
淮海战役双堆集烈士陵园,安徽省淮北市,2A,安徽省首批爱国主义教育示范基地
八一起义纪念馆,江西省南昌市,4A,了解南昌起义的历史
中央革命根据地博物馆,江西省瑞金市,4A,全国百个爱国主义教育示范基地之一
沙洲红色旅游景区,湖南省郴州市,4A,
井冈山,江西省吉安市,5A,红色之旅中欣赏自然
华东革命烈士陵园,山东省临沂市,3A,
台儿庄大战纪念馆,山东省枣庄市,4A,气势雄伟、庄严肃穆
冀鲁豫边区革命纪念馆,山东省菏泽市,3A,
解放阁,山东省济南市,,济南爱国主义教育基地之一
莱芜战役纪念馆,山东省济南市,4A,全景画馆让人身临其境惊心动魄
甲午海战陈列馆 ,山东省威海市,,甲午悲壮史的大型纪念馆
